Gmt time,Open,High,Low,Close,Volume
03.12.2019 00:00:00.000,1.10760,1.10934,1.10660,1.10818,129714031250
04.12.2019 00:00:00.000,1.10819,1.11161,1.10666,1.10827,151487578125
05.12.2019 00:00:00.000,1.10824,1.11080,1.10793,1.11038,123792304687.5
06.12.2019 00:00:00.000,1.11039,1.11097,1.10398,1.10543,120864609375
07.12.2019 00:00:00.000,1.10543,1.10543,1.10543,1.10543,0
08.12.2019 00:00:00.000,1.10580,1.10604,1.10562,1.10582,1990829956.0547
09.12.2019 00:00:00.000,1.10581,1.10779,1.10533,1.10643,109027390625
10.12.2019 00:00:00.000,1.10642,1.10977,1.10628,1.10923,129542960937.5
11.12.2019 00:00:00.000,1.10923,1.11448,1.10701,1.11325,144933312500
12.12.2019 00:00:00.000,1.11326,1.11995,1.11029,1.11833,192578109375
13.12.2019 00:00:00.000,1.11833,1.11860,1.11120,1.11174,211781328125
14.12.2019 00:00:00.000,1.11174,1.11174,1.11174,1.11174,0
15.12.2019 00:00:00.000,1.11280,1.11309,1.11225,1.11242,4374154785.1563
16.12.2019 00:00:00.000,1.11241,1.11581,1.11229,1.11355,151090562500
17.12.2019 00:00:00.000,1.11355,1.11746,1.11293,1.11514,151614531250
18.12.2019 00:00:00.000,1.11512,1.11512,1.11105,1.11154,146608265625
19.12.2019 00:00:00.000,1.11154,1.11442,1.11072,1.11231,157736093750
20.12.2019 00:00:00.000,1.11231,1.11236,1.10662,1.10769,130731890625
21.12.2019 00:00:00.000,1.10769,1.10769,1.10769,1.10769,0
22.12.2019 00:00:00.000,1.10810,1.10813,1.10766,1.10802,2560479980.4688
23.12.2019 00:00:00.000,1.10801,1.10958,1.10699,1.10917,108289429687.5
24.12.2019 00:00:00.000,1.10918,1.10938,1.10690,1.10873,80970679687.5
25.12.2019 00:00:00.000,1.10873,1.10953,1.10730,1.10944,4887310058.5938
26.12.2019 00:00:00.000,1.10944,1.11088,1.10821,1.11012,52487632812.5
27.12.2019 00:00:00.000,1.11013,1.11883,1.10987,1.11713,124575906250
28.12.2019 00:00:00.000,1.11713,1.11713,1.11713,1.11713,0
29.12.2019 00:00:00.000,1.11736,1.11839,1.11718,1.11813,3216499511.7188
30.12.2019 00:00:00.000,1.11812,1.12207,1.11806,1.12013,130773875000
31.12.2019 00:00:00.000,1.12013,1.12391,1.11987,1.12072,107777312500
01.01.2020 00:00:00.000,1.12143,1.12218,1.12142,1.12188,1401660034.1797
02.01.2020 00:00:00.000,1.12188,1.12245,1.11635,1.11708,487219122375.4886
03.01.2020 00:00:00.000,1.11707,1.11798,1.11249,1.11548,177406792846.67993
04.01.2020 00:00:00.000,1.11548,1.11548,1.11548,1.11548,0
05.01.2020 00:00:00.000,1.11656,1.11677,1.11589,1.11604,4398099884.0332
06.01.2020 00:00:00.000,1.11603,1.12055,1.11571,1.11954,139965284545.89877
07.01.2020 00:00:00.000,1.11953,1.11970,1.11335,1.11540,155594094726.5628
08.01.2020 00:00:00.000,1.11539,1.11682,1.11016,1.11129,195256950927.73462
09.01.2020 00:00:00.000,1.11130,1.11204,1.10924,1.11093,142852244934.08228
10.01.2020 00:00:00.000,1.11092,1.11291,1.10850,1.11165,126780231445.3127
11.01.2020 00:00:00.000,1.11165,1.11165,1.11165,1.11165,0
12.01.2020 00:00:00.000,1.11141,1.11209,1.11128,1.11161,1889078002.9297
13.01.2020 00:00:00.000,1.11161,1.11469,1.11125,1.11344,121460791870.11757
14.01.2020 00:00:00.000,1.11344,1.11444,1.11045,1.11275,137175021301.26968
15.01.2020 00:00:00.000,1.11276,1.11634,1.11185,1.11524,149733395019.53143
16.01.2020 00:00:00.000,1.11524,1.11727,1.11279,1.11368,132785064697.2656
17.01.2020 00:00:00.000,1.11368,1.11425,1.10862,1.10890,123846607299.8052
18.01.2020 00:00:00.000,1.10890,1.10890,1.10890,1.10890,0
19.01.2020 00:00:00.000,1.10910,1.10948,1.10889,1.10946,3275469970.7031
20.01.2020 00:00:00.000,1.10946,1.11023,1.10766,1.10962,97595170043.9457
21.01.2020 00:00:00.000,1.10963,1.11179,1.10809,1.10851,133266431030.2737
22.01.2020 00:00:00.000,1.10851,1.10984,1.10700,1.10957,134188814086.91449
23.01.2020 00:00:00.000,1.10956,1.11087,1.10362,1.10554,170440225097.65652
24.01.2020 00:00:00.000,1.10554,1.10617,1.10195,1.10224,123758220092.7735
25.01.2020 00:00:00.000,1.10224,1.10224,1.10224,1.10224,0
26.01.2020 00:00:00.000,1.10318,1.10343,1.10244,1.10245,10936521484.3751
27.01.2020 00:00:00.000,1.10245,1.10375,1.10096,1.10193,126594611206.0547
28.01.2020 00:00:00.000,1.10193,1.10252,1.09978,1.10220,122883060424.80478
29.01.2020 00:00:00.000,1.10220,1.10276,1.09923,1.10138,122855779052.7347
30.01.2020 00:00:00.000,1.10138,1.10393,1.10069,1.10285,143391972778.3207
